+AF8-id,stop+AF8-name,stop+AF8-lat,stop+AF8-lon,location+AF8-type,parent+AF8-station,zone+AF8-id,wheelchair+AF8-boarding,MFL,BSS,NHSL
21785,11th St +ACY- Ritner St ,39.919917,+AC0-75.165194,,,1,,,,
21783,11th St +ACY- Shunk St,39.917402,+AC0-75.165758,,,1,,,,
16594,11th St +ACY- Snyder Av,39.923637,+AC0-75.164401,,,1,,,,
17394,11th St +ACY- Somerville Av +AC0- FS,40.034673,+AC0-75.14018,,,1,,,,
16838,11th St +ACY- South St ,39.942915,+AC0-75.16015,,,1,,,,
17714,11th St +ACY- Spencer St,40.04536,+AC0-75.137925,,,1,,,,
23419,11th St +ACY- Spencer St,40.045146,+AC0-75.137808,,,1,,,,
16851,11th St +ACY- Spring Garden St,39.961532,+AC0-75.1561,,,1,,,,
16841,11th St +ACY- Spruce St ,39.946242,+AC0-75.159441,,,1,,,,
16870,11th St +ACY- Susquehanna Av,39.985502,+AC0-75.150858,,,1,,,,
30304,11th St +ACY- Tabor Rd,40.036955,+AC0-75.139631,,,1,,,,
16828,11th St +ACY- Tasker St,39.92973,+AC0-75.163045,,,1,,,,
16858,11th St +ACY- Thompson St,39.972415,+AC0-75.15372,,,1,,,,
16847,11th St +ACY- Vine St,39.95692,+AC0-75.157098,,,1,,,,
16853,11th St +ACY- Wallace St,39.964164,+AC0-75.155535,,,1,,,,
16843,11th St +ACY- Walnut St,39.948606,+AC0-75.158913,,,1,,,,
1183,11th St +ACY- Washington Av ,39.937107,+AC0-75.161424,,,1,,,,
16609,11th St +ACY- Wharton St ,39.93337,+AC0-75.162229,,,1,,,,
21786,11th St +ACY- Wolf St ,39.921175,+AC0-75.16493,,,1,,,,
16872,11th St +ACY- York St,39.988588,+AC0-75.150196,,,1,,,,
21349,11th St +ACY- Zinkoff Blvd +AC0- FS,39.902549,+AC0-75.169094,,,1,,,,
2456,11th St Station,39.951648,+AC0-75.158346,,,1,,1,,
16524,12 th St +ACY- Moore St ,39.927691,+AC0-75.165295,,,1,,,,
23573,12th St +ACY- 69th Av,40.057425,+AC0-75.13693,,,1,,,,
16130,12th St +ACY- Arch St ,39.954025,+AC0-75.159542,,,1,,,,
16502,12th St +ACY- Bainbridge St ,39.942419,+AC0-75.16203,,,1,,,,
16111,12th St +ACY- Berks St ,39.98134,+AC0-75.153473,,,1,,,,
16120,12th St +ACY- Brown St ,39.967209,+AC0-75.156622,,,1,,,,
16125,12th St +ACY- Buttonwood St,39.961072,+AC0-75.157968,,,1,,,,
16127,12th St +ACY- Callowhill St ,39.959199,+AC0-75.158377,,,1,,,,
16506,12th St +ACY- Carpenter St ,39.938708,+AC0-75.162846,,,1,,,,
16504,12th St +ACY- Catharine St ,39.940439,+AC0-75.162474,,,1,,,,
16113,12th St +ACY- Cecil B Moore Av ,39.978227,+AC0-75.154229,,,1,,,,
16131,12th St +ACY- Chestnut St ,39.950501,+AC0-75.160299,,,1,,,,
16505,12th St +ACY- Christian St ,39.939671,+AC0-75.162642,,,1,,,,
16109,12th St +ACY- Diamond St ,39.984266,+AC0-75.152906,,,1,,,,
16516,12th St +ACY- Dickinson St ,39.931331,+AC0-75.164491,,,1,,,,
16507,12th St +ACY- Ellsworth St ,39.936192,+AC0-75.163399,,,1,,,,
16121,12th St +ACY- Fairmount Av,39.966228,+AC0-75.15685,,,1,,,,
16509,12th St +ACY- Federal St ,39.935175,+AC0-75.163615,,,1,,,,
16503,12th St +ACY- Fitzwater St ,39.941447,+AC0-75.162258,,,1,,,,
1180,12th St +ACY- Girard Av,39.969377,+AC0-75.156165,,,1,,,,
16123,12th St +ACY- Green St ,39.963044,+AC0-75.157547,,,1,,,,
16585,12th St +ACY- Jackson St ,39.922785,+AC0-75.166364,,,1,,,,
16115,12th St +ACY- Jefferson St ,39.975443,+AC0-75.154819,,,1,,,,
23428,12th St +ACY- Lakeside Av,40.058504,+AC0-75.136606,,,1,,,,
23572,12th St +ACY- Lakeside Av +AC0- FS,40.058594,+AC0-75.136854,,,1,,,,
16495,12th St +ACY- Locust St ,39.947843,+AC0-75.160852,,,1,,,,
16500,12th St +ACY- Lombard St ,39.944274,+AC0-75.161598,,,1,,,,
756,12th St +ACY- Market St ,39.952053,+AC0-75.159974,,,1,,,,
16116,12th St +ACY- Master St ,39.974078,+AC0-75.155143,,,1,,,,
16576,12th St +ACY- McKean St ,39.925229,+AC0-75.165836,,,1,,,,
16575,12th St +ACY- Mifflin St ,39.926442,+AC0-75.165536,,,1,,,,
16112,12th St +ACY- Montgomery Av ,39.979814,+AC0-75.153892,,,1,,,,
16522,12th St +ACY- Morris St ,39.928886,+AC0-75.165008,,,1,,,,
28695,12th St +ACY- Nedro Av ,40.042331,+AC0-75.140113,,,1,,,,
