_id.stationId,_id.outageYear,_id.outageMonth,_id.outageDay,stop_name,line_code
"21532","2014","06","16","30th St Station","MFL"
"21532","2014","06","17","30th St Station","MFL"
"21532","2014","06","18","30th St Station","MFL"
"21532","2014","06","19","30th St Station","MFL"
"21532","2014","06","20","30th St Station","MFL"
"21532","2014","07","24","30th St Station","MFL"
"21532","2014","07","25","30th St Station","MFL"
"21532","2014","09","08","30th St Station","MFL"
"21532","2014","09","09","30th St Station","MFL"
"21532","2014","09","10","30th St Station","MFL"
"21532","2014","09","26","30th St Station","MFL"
"21532","2014","11","01","30th St Station","MFL"
"21532","2014","12","22","30th St Station","MFL"
"21532","2014","12","23","30th St Station","MFL"
"2439","2014","05","20","North Philadelphia","BSS"
"2439","2014","06","15","North Philadelphia","BSS"
"2439","2014","06","16","North Philadelphia","BSS"
"2439","2014","06","17","North Philadelphia","BSS"
"2439","2014","06","18","North Philadelphia","BSS"
"2439","2014","07","15","North Philadelphia","BSS"
"2439","2014","08","28","North Philadelphia","BSS"
"2439","2014","09","09","North Philadelphia","BSS"
"2439","2014","09","10","North Philadelphia","BSS"
"2439","2014","10","17","North Philadelphia","BSS"
"2439","2014","10","22","North Philadelphia","BSS"
"2439","2014","10","29","North Philadelphia","BSS"
"2439","2014","11","06","North Philadelphia","BSS"
"2439","2014","11","11","North Philadelphia","BSS"
"2439","2014","11","19","North Philadelphia","BSS"
"2439","2014","11","20","North Philadelphia","BSS"
"2439","2014","11","24","North Philadelphia","BSS"
"2439","2014","12","26","North Philadelphia","BSS"
"2446","2014","06","15","Millbourne Station","MFL"
"2446","2014","06","16","Millbourne Station","MFL"
"2446","2014","11","17","Millbourne Station","MFL"
"2446","2014","11","18","Millbourne Station","MFL"
"2447","2014","06","13","63rd St Station","MFL"
"2447","2014","06","14","63rd St Station","MFL"
"2447","2014","07","16","63rd St Station","MFL"
"2447","2014","10","22","63rd St Station","MFL"
"2447","2014","10","23","63rd St Station","MFL"
"2447","2014","11","11","63rd St Station","MFL"
"2448","2014","05","17","60th St Station","MFL"
"2448","2014","05","18","60th St Station","MFL"
"2448","2014","05","26","60th St Station","MFL"
"2448","2014","05","27","60th St Station","MFL"
"2448","2014","08","05","60th St Station","MFL"
"2448","2014","08","07","60th St Station","MFL"
"2448","2014","08","08","60th St Station","MFL"
"2448","2014","09","08","60th St Station","MFL"
"2448","2014","10","01","60th St Station","MFL"
"2448","2014","10","21","60th St Station","MFL"
"2449","2014","05","26","56th St Station","MFL"
"2449","2014","06","01","56th St Station","MFL"
"2449","2014","08","05","56th St Station","MFL"
"2449","2014","08","10","56th St Station","MFL"
"2449","2014","09","06","56th St Station","MFL"
"2449","2014","09","07","56th St Station","MFL"
"2449","2014","09","08","56th St Station","MFL"
"2449","2014","09","22","56th St Station","MFL"
"2449","2014","09","23","56th St Station","MFL"
"2449","2014","09","27","56th St Station","MFL"
"2449","2014","10","02","56th St Station","MFL"
"2449","2014","10","07","56th St Station","MFL"
